id,Name,Date (UTC),Description,Url,Tax Code
prod_Um0mAJBQbHnRD0,myproduct,2026-06-26 05:56,(created by Stripe CLI),,
prod_UcnbYM3PTMEJe9,Advertiser Monthly,2026-06-01 15:44,,,
prod_UcnbYZOKvuPfJm,Promoter,2026-06-01 15:44,,,
prod_UcnbPhR58P4OHF,Venue Owner,2026-06-01 15:44,,,
prod_UTTixFabMYhHjj,myproduct,2026-05-25 16:09,(created by Stripe CLI),,
prod_UTTpxHK6W8EeeN,myproduct,2026-05-25 16:09,(created by Stripe CLI),,
prod_UTTiEZJzAAYzBT,myproduct,2026-05-25 16:09,(created by Stripe CLI),,
prod_UTTt0jPBNl3ea1,myproduct,2026-05-25 16:08,(created by Stripe CLI),,
